availability_365,availability_30,availability_60,availability_90
352,18,48,78
341,18,47,77
23,22,23,23
69,8,38,68
345,17,40,70
308,9,11,33
55,9,26,55
320,10,25,49
92,2,2,3
306,6,6,31
84,0,4,4
303,1,1,28
31,15,15,31
77,5,10,20
115,1,30,60
55,7,30,55
352,22,48,77
268,21,21,21
47,14,44,47
340,13,43,73
292,19,19,19
164,15,45,75
151,9,9,37
64,20,44,64
33,10,33,33
86,0,1,1
337,12,32,62
178,29,59,89
48,2,19,48
277,2,10,12
61,13,32,61
27,16,27,27
313,11,35,55
13,0,4,13
53,4,26,53
290,2,28,39
154,5,35,65
318,23,26,52
314,13,27,47
83,22,52,82
363,29,59,89
343,16,43,73
314,23,44,74
152,2,32,62
110,20,50,80
48,0,4,4
150,8,38,61
109,3,19,49
349,23,53,83
65,15,37,65
163,20,50,80
186,26,33,33
347,21,48,78
46,14,24,44
351,18,46,76
337,20,46,76
307,7,33,63
353,30,48,78
61,30,60,61
133,0,17,30
120,4,4,30
308,7,36,66
164,21,44,74
278,6,28,51
137,14,17,47
183,12,36,59
143,7,23,53
73,2,28,58
318,6,36,53
62,2,32,62
17,0,0,0
9,0,9,9
336,10,31,61
350,18,48,78
52,15,28,52
316,21,51,81
33,0,0,0
333,9,28,58
39,1,10,39
265,30,60,90
325,5,26,56
128,0,0,0
8,4,4,8
278,12,32,52
7,2,2,7
174,28,58,84
231,2,2,2
121,0,1,31
51,22,51,51
32,4,12,19
136,0,0,7
188,0,0,0
282,13,27,53
318,1,18,48
199,5,35,65
44,18,44,44
35,3,11,11
227,9,9,9
79,0,0,0
354,20,50,80
143,0,0,0
279,12,36,66
315,13,29,54
256,0,0,24
260,17,46,46
183,7,19,30
94,4,34,64
141,5,5,21
317,16,16,42
23,9,9,23
350,17,45,75
34,2,2,2
168,0,7,7
346,20,41,71
272,6,15,25
129,9,36,55
46,5,5,5
152,10,36,65
14,0,2,14
239,7,29,53
131,5,33,59
342,18,48,78
155,13,43,70
13,12,12,13
344,14,39,69
328,10,40,70
97,0,0,10
206,8,23,40
346,17,41,71
95,5,29,57
158,1,10,10
173,17,47,71
341,17,44,71
108,14,24,42
150,10,34,60
17,10,17,17
38,0,0,0
250,0,5,5
28,0,0,28
140,0,0,0
132,0,0,11
316,0,11,41
160,15,40,70
139,11,35,57
48,2,17,47
268,6,22,42
264,22,22,22
314,12,12,39
43,0,3,3
59,0,3,3
233,0,10,10
203,9,20,20
341,13,43,73
256,9,10,10
199,0,7,7
106,9,14,18
159,23,53,76
329,2,24,54
114,0,0,0
