number_of_reviews,reviews_score_rating,reviews_per_month
9,96,0.12
78,98,4.03
6,93,0.31
9,100,3.33
84,98,2.87
20,98,1.27
135,90,2.38
159,96,4.96
38,91,4.19
395,93,7.19
18,78,0.96
111,97,3.19
21,98,3.46
11,93,1.49
3,100,0.67
8,90,1.08
13,98,0.93
85,87,2.01
26,92,2.7
18,95,0.43
79,94,5.54
12,91,0.75
76,95,4.37
9,98,0.2
62,90,6.24
56,88,2.43
13,86,2.23
41,92,5.32
3,100,0.43
114,94,3.51
11,96,0.16
13,100,1.34
7,89,1.01
30,89,1.52
12,85,0.59
13,78,0.69
7,97,2.53
52,84,2.39
106,84,2.24
32,98,5.71
136,85,2.84
109,95,3.68
30,90,1.58
138,88,2.86
12,95,1.88
3,93,0.58
49,86,1.43
57,91,2.68
3,100,0.23
14,89,0.58
13,100,6
11,96,5
13,88,2.31
16,95,1.01
8,83,0.48
128,99,9.85
91,95,5.72
155,99,6.29
3,100,0.59
56,100,7.5
2,90,0.38
20,95,1.78
2,100,1.25
8,95,0.33
29,92,2.66
14,87,4.62
2,20,0.28
79,94,1.89
35,92,4.53
39,98,1.59
24,81,0.35
46,95,2.17
5,88,0.55
1,80,0.12
27,93,0.39
12,98,1.33
19,96,0.34
16,74,0.24
127,97,4.35
17,75,0.28
1,80,0.03
80,99,4.75
14,97,1.92
2,80,0.41
25,99,2.33
18,98,0.86
39,87,4.4
131,99,9.54
12,98,0.31
127,96,6.68
5,85,1.33
10,90,0.53
1,100,0.39
41,93,1.91
16,93,2.35
7,100,0.12
13,78,2.91
30,86,0.43
11,96,1.45
61,98,2.39
8,85,1.22
19,83,1.49
112,97,3.78
35,94,3.56
2,100,0.69
14,84,3.16
56,93,3.39
59,99,7.7
49,82,1.84
122,86,4.01
67,78,6.93
49,99,6.56
45,85,1.17
40,96,1.64
98,91,2.01
17,83,0.29
39,97,2.05
13,68,0.23
25,94,0.63
3,80,0.71
13,87,0.25
16,89,1.46
11,100,2.17
17,83,0.28
75,82,5.11
74,97,2.26
10,98,0.85
16,86,3.66
2,90,0.31
14,93,3.33
17,99,4.36
21,90,2.64
39,99,5.74
57,99,2.83
7,91,0.56
36,93,2.17
3,80,0.61
16,98,1.94
104,89,1.94
32,91,4.59
29,92,4.92
9,95,0.67
20,98,1.9
3,87,0.23
20,90,4.69
3,87,0.2
70,98,3.9
16,97,0.45
15,76,1.81
114,94,3.47
35,91,0.49
8,98,3.69
8,85,3.08
11,100,0.2
7,97,0.73
7,94,0.27
11,87,0.9
26,85,2.85
76,96,2.95
5,96,0.23
42,99,2.49
6,100,1.27
3,93,0.32
26,94,2.69
38,93,2.59
25,93,1.47
16,88,3.5
11,84,2.08
12,100,1.12
3,87,0.18
5,72,0.46
14,99,0.46
17,95,3.05
14,99,0.83
280,96,5
3,87,0.53
102,95,3.3
1,,0.06
8,83,2.02
51,95,4.65
5,68,0.79
53,87,2.94
